year,scenario_code,scenario,s_mil_2025_assumed,g_world,d_mil,d_rest,epsilon,m_NATO,m_nonNATO,M_NATO,M_nonNATO,M_global,eta_mil,eta_rest,E_mil_Gt,E_rest_Gt,E_world_Gt,s_mil,model_family
2042,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.4013235906780372,3.3769219068868037,6.778245497564841,0.8625833309442077,0.3800192297166789,5.846801579247059,71.02024016190308,76.86704174115013,0.07606382978723406,Original model reference case
2043,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.5033632983983796,3.478229564093408,6.981592862491787,0.8539574976347656,0.37621903741951207,5.9619835703582265,72.41933889309257,78.3813224634508,0.07606382978723406,Original model reference case
2044,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.60846419735033,3.5825764510162106,7.19104064836654,0.845417922658418,0.372456847045317,6.079434646694283,73.8459998692865,79.92543451598078,0.07606382978723404,Original model reference case
2045,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.716718123270841,3.690053744546697,7.406771867817538,0.8369637434318338,0.3687322785748638,6.199199509234162,75.30076606671145,81.49996557594561,0.07606382978723406,Original model reference case
2046,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.8282196669689657,3.8007553568830974,7.628975023852063,0.8285941059975155,0.36504495578911517,6.321323739566075,76.78419115822567,83.10551489779174,0.07606382978723406,Original model reference case
2047,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,3.943066256978035,3.914778017589591,7.857844274567626,0.8203081649375403,0.36139450623122404,6.445853817235527,78.29683972404271,84.74269354127824,0.07606382978723406,Original model reference case
2048,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,4.0613582446873755,4.032221358117279,8.093579602804654,0.8121050832881649,0.35778056116891177,6.572837137435066,79.83928746660635,86.41212460404142,0.07606382978723404,Original model reference case
2049,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,4.1831989920279975,4.153187998860798,8.336386990888794,0.8039840324552832,0.35420275555722264,6.702322029042537,81.4121214296985,88.11444345874104,0.07606382978723406,Original model reference case
2050,S2,"NATO→3.5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.035,0.035,4.308694961788837,4.277783638826621,8.586478600615457,0.7959441921307304,0.35066072800165043,6.834357773014675,83.01594022186356,89.85029799487823,0.07606382978723406,Original model reference case
2025,S3,"NATO→5%, nonNATO→3.5%",0.055,0.03,0.01,0.01,0.0,0.027,0.022985547972701727,1.587489462,1.341760538,2.9292499999999997,1.023299479388922,0.45082424616435024,2.9974999999999996,51.5025,54.5,0.05499999999999999,Original model reference case
